filepath,class,duration,feature_vec_length,spectral_centroid_min,spectral_centroid_max,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_min,spectral_rolloff_max,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_min,spectral_bandwidth_max,spectral_bandwidth_mean,spectral_bandwidth_std,zero_crossing_rate_min,zero_crossing_rate_max,zero_crossing_rate_mean,zero_crossing_rate_std
fold5/100032-3-0-0.wav,dog_bark,0.31755102040816324,28,1753.4227820489855,3279.8717271071882,2495.7322976400455,315.18855187225444,2497.8515625,4500.439453125,3228.4423828125,461.2232221413327,2077.548020913099,4502.148736256689,2847.07672481373,618.8198667515057,0.02978515625,0.07666015625,0.06630161830357142,0.012149247403398459
fold5/100263-2-0-117.wav,children_playing,4.0,345,1586.034311031957,2988.3135987502615,2229.069132631983,268.37012219447115,3337.646484375,5727.83203125,4074.08203125,310.33807887356033,1774.662996534184,3250.6217185607215,2277.4301572179074,249.19861585899363,0.02685546875,0.12060546875,0.07166694972826088,0.020665725172787485
fold5/100263-2-0-121.wav,children_playing,4.0,345,1376.4980429669454,2578.656066905181,1951.3679163332786,195.23294873399985,2885.44921875,4414.306640625,3760.0093410326085,289.02318290338485,2014.0853032775271,2838.384133408341,2317.2307368421734,146.5346665471297,0.01416015625,0.09814453125,0.05259001358695652,0.014700988999748362
fold5/100263-2-0-126.wav,children_playing,4.0,345,1678.932083736237,6077.1713272733305,2652.528880776136,722.7055207850802,3509.912109375,11197.265625,4979.787279211957,1635.1828208818486,2119.3077808788744,4716.551666286773,2929.1138696813614,524.4978871499942,0.0146484375,0.2109375,0.0727638134057971,0.03273851369053222
fold5/100263-2-0-137.wav,children_playing,4.0,345,1609.4019129678,2536.6195614208095,2092.5474077820063,179.7546557435115,3186.9140625,4500.439453125,3964.1066576086955,203.77808194684783,1918.526294513178,2711.4890530541556,2282.170982007131,133.4515294157716,0.01708984375,0.1005859375,0.06088371829710145,0.015909839821726952
fold5/100263-2-0-143.wav,children_playing,4.0,345,1285.2623448507409,2684.0698184646703,1898.730492391554,290.1814631385518,2885.44921875,5167.96875,3865.178753396739,443.0019443688573,2008.479788830916,3165.1660155490254,2429.8465520306995,231.55537530517782,0.0068359375,0.09814453125,0.038223222373188405,0.017522835681223415
fold5/100263-2-0-161.wav,children_playing,4.0,345,1268.1628003521002,3093.5028516530565,1889.1878933994167,263.1640660601456,2368.65234375,6567.626953125,3950.125679347826,530.1998467421452,2088.376862209725,3219.900029287002,2511.436507788966,188.4517749101202,0.01513671875,0.083984375,0.038633661684782605,0.01147577278820236
fold5/100263-2-0-3.wav,children_playing,4.0,345,1403.7660966912579,2466.893517719748,1939.850836635962,201.25791446838383,3100.78125,4866.50390625,4073.2082201086955,285.0490691481687,2027.3195836202153,3007.1264553096466,2532.8993177027282,138.4949755247969,0.01123046875,0.0751953125,0.0380859375,0.0122365754342967
fold5/100263-2-0-36.wav,children_playing,4.0,345,1197.380677685602,2328.659863235434,1746.2618978720088,237.2634518513415,2670.1171875,4629.638671875,3678.4952445652175,410.70775995177,2058.0618373507755,3132.3529272664805,2313.6791527749483,159.27860108571426,0.00439453125,0.08984375,0.03450379302536232,0.01627025904483261
fold10/100648-1-0-0.wav,car_horn,0.6485260770975056,56,1634.0354506879746,3535.6517767700207,2614.633263383148,470.37339702607005,2583.984375,8505.615234375,6016.607666015625,1410.5585107690524,2718.5541922830635,3647.68047270727,3215.3781369718063,236.81846272410752,0.00927734375,0.1015625,0.06403459821428571,0.02428983260746239
fold10/100648-1-1-0.wav,car_horn,1.05,91,2081.026945081633,3628.0647706885734,2743.6708667504627,389.9136877612749,3488.37890625,8311.81640625,5668.438251201923,1189.7255200762254,2533.4862549223294,3916.7926924963085,3152.9611810045835,319.3130208852629,0.017578125,0.1044921875,0.07263586023351648,0.01882152687321241
fold10/100648-1-2-0.wav,car_horn,0.40532879818594103,35,2546.630087922882,5022.949586203316,3069.551967065515,476.77272679990256,4844.970703125,11670.99609375,5999.150390625,1215.6763483102493,2701.161301343304,5586.620921359739,3113.545495127241,513.0929203683407,0.00244140625,0.146484375,0.10080915178571428,0.03203242875584314
fold10/100648-1-3-0.wav,car_horn,1.62,140,2168.459452945423,3260.169783840136,2705.657405801074,243.07347894574082,4112.841796875,7084.423828125,5533.87939453125,631.7737182499953,2518.4228952028734,3310.116881493915,2898.2800368586886,160.89368965851926,0.03759765625,0.1162109375,0.08350306919642857,0.016758688240583935
